epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.7545,1.65481,3.38782,1.50875,0.00372,0.92659,0.20604,0.09044,1.61869,3.34724,1.44317,0.00038341,0.00038341,0.00038341
2,73.7429,1.59649,2.53198,1.41058,0.50001,0.10359,0.23226,0.11186,1.9146,3.13455,1.79948,0.000775733,0.000775733,0.000775733
3,105.921,1.45452,2.30017,1.36404,0.47292,0.27381,0.29645,0.16559,1.7976,2.60873,1.59128,0.00116014,0.00116014,0.00116014
4,138.814,1.4847,2.04948,1.36625,0.31694,0.42857,0.28575,0.1287,2.01385,2.81347,1.75363,0.00153662,0.00153662,0.00153662
5,171.823,1.54878,2.1492,1.4481,0.76617,0.16071,0.18745,0.09066,2.08059,2.88554,2.06815,0.00160099,0.00160099,0.00160099
6,204.127,1.44147,1.90321,1.35881,0.43113,0.3869,0.35623,0.20895,1.75249,2.38786,1.73553,0.00158448,0.00158448,0.00158448
7,236.786,1.48087,1.90319,1.36796,0.34942,0.51389,0.37948,0.24356,1.50196,2.18292,1.49706,0.00156798,0.00156798,0.00156798
8,268.521,1.48686,1.81094,1.35538,0.40382,0.46,0.45464,0.30094,1.44351,2.97992,1.5267,0.00155148,0.00155148,0.00155148
9,300.367,1.43153,1.82811,1.33896,0.35699,0.58135,0.45154,0.28286,1.43901,2.46479,1.46345,0.00153497,0.00153497,0.00153497
10,332.547,1.3289,1.66381,1.28807,0.56891,0.46132,0.48854,0.3422,1.36528,2.28013,1.4343,0.00151847,0.00151847,0.00151847
11,364.492,1.37087,1.6575,1.33388,0.5436,0.48611,0.55322,0.36868,1.26875,2.19731,1.38938,0.00150197,0.00150197,0.00150197
12,397.299,1.42615,1.67567,1.35825,0.50067,0.52183,0.53626,0.34784,1.3995,1.94508,1.4462,0.00148546,0.00148546,0.00148546
13,430.642,1.20399,1.62071,1.22337,0.26409,0.52183,0.20029,0.10989,1.54716,3.33617,1.57825,0.00146896,0.00146896,0.00146896
14,463.595,1.38463,1.63113,1.32433,0.44528,0.47857,0.47136,0.3148,1.33753,2.19415,1.46508,0.00145246,0.00145246,0.00145246
15,496.716,1.27607,1.50811,1.24978,0.6022,0.49603,0.48852,0.33665,1.50783,2.1848,1.53265,0.00143595,0.00143595,0.00143595
16,528.927,1.36263,1.5718,1.31386,0.74384,0.49802,0.60582,0.39433,1.40409,1.89305,1.46104,0.00141945,0.00141945,0.00141945
17,560.767,1.31939,1.49584,1.30818,0.67127,0.69087,0.68706,0.42371,1.46652,1.85862,1.40495,0.00140295,0.00140295,0.00140295
18,592.609,1.32506,1.50006,1.26307,0.7028,0.63159,0.70075,0.43165,1.28676,1.95284,1.35615,0.00138644,0.00138644,0.00138644
19,624.34,1.24228,1.43962,1.25499,0.71211,0.55357,0.6062,0.38227,1.43352,1.82514,1.40851,0.00136994,0.00136994,0.00136994
20,665.166,1.19782,1.40829,1.20426,0.53275,0.54471,0.58219,0.40666,1.29638,1.81623,1.33224,0.00135344,0.00135344,0.00135344
21,713.169,1.22339,1.35271,1.21657,0.63533,0.58848,0.54748,0.34469,1.30542,1.95977,1.39205,0.00133693,0.00133693,0.00133693
22,761.117,1.13635,1.30784,1.18034,0.64396,0.7619,0.58996,0.38857,1.27708,1.64751,1.297,0.00132043,0.00132043,0.00132043
23,806.45,1.1033,1.25815,1.17545,0.65201,0.56327,0.62111,0.39279,1.29737,1.84638,1.3556,0.00130393,0.00130393,0.00130393
24,849.833,1.28032,1.34964,1.29857,0.54996,0.67799,0.60876,0.40101,1.26323,1.84525,1.3327,0.00128742,0.00128742,0.00128742
25,893.196,1.23155,1.33319,1.21162,0.60275,0.61905,0.59822,0.40246,1.26622,1.86312,1.27008,0.00127092,0.00127092,0.00127092
26,936.763,1.16428,1.25159,1.20642,0.61539,0.71825,0.67651,0.44826,1.17462,1.54304,1.17931,0.00125442,0.00125442,0.00125442
27,980.2,1.15217,1.21472,1.18246,0.63206,0.77183,0.69142,0.43927,1.28751,1.57224,1.30798,0.00123791,0.00123791,0.00123791
28,1023.53,1.13154,1.29084,1.19095,0.63438,0.66468,0.6333,0.39549,1.2832,1.85589,1.30911,0.00122141,0.00122141,0.00122141
29,1065.1,1.18111,1.19454,1.17561,0.76018,0.68849,0.63708,0.41349,1.24433,1.5457,1.28862,0.00120491,0.00120491,0.00120491
30,1106.86,1.04841,1.12887,1.11803,0.86982,0.65269,0.6903,0.45232,1.22705,1.52864,1.29681,0.0011884,0.0011884,0.0011884
31,1135.79,1.09431,1.22583,1.1843,0.66744,0.69048,0.68344,0.46144,1.25371,1.48229,1.34121,0.0011719,0.0011719,0.0011719
32,1153.38,1.12898,1.13982,1.17577,0.6756,0.71627,0.64354,0.46556,1.16991,1.46064,1.28557,0.0011554,0.0011554,0.0011554
33,1170.73,1.09694,1.15668,1.14417,0.63301,0.62924,0.62699,0.44606,1.24003,1.53407,1.29907,0.00113889,0.00113889,0.00113889
34,1188.21,1.08432,1.08477,1.17043,0.6704,0.66071,0.63558,0.44721,1.22622,1.52204,1.33318,0.00112239,0.00112239,0.00112239
35,1205.21,1.13674,1.16988,1.16143,0.62044,0.75397,0.66354,0.47775,1.20037,1.47431,1.30404,0.00110589,0.00110589,0.00110589
36,1221.96,1.06968,1.12047,1.12774,0.58704,0.70902,0.65746,0.47882,1.09785,1.43911,1.22891,0.00108938,0.00108938,0.00108938
37,1239.67,0.98797,0.99007,1.09004,0.69932,0.67703,0.67284,0.44553,1.19841,1.51187,1.31175,0.00107288,0.00107288,0.00107288
38,1256.94,1.11626,1.1461,1.17403,0.78545,0.60462,0.72088,0.48922,1.17887,1.45305,1.27614,0.00105638,0.00105638,0.00105638
39,1275.16,1.01536,1.0207,1.09579,0.73023,0.60714,0.65688,0.43127,1.30133,1.51777,1.30222,0.00103987,0.00103987,0.00103987
40,1292.82,1.052,1.05633,1.13646,0.79161,0.72619,0.71972,0.51876,1.17705,1.38861,1.22372,0.00102337,0.00102337,0.00102337
41,1310.99,1.00047,0.98121,1.09958,0.67623,0.77753,0.70695,0.459,1.23807,1.55874,1.31401,0.00100687,0.00100687,0.00100687
